3025
abcdefg	h	i
abfghi	c	de
acdefg	bh	i
acdefg	bi	h
acdefg	b	hi
acdefh	bg	i
acdefh	bi	g
acdefh	b	gi
acdefi	bg	h
acdefi	bh	g
acdefi	b	gh
acdegh	bf	i
acdegh	bi	f
acdegh	b	fi
acdegi	bf	h
acdegi	bh	f
acdegi	b	fh
acdehi	bf	g
acdehi	bg	f
acdehi	b	fg
acdfgh	be	i
acdfgh	bi	e
acdfgh	b	ei
acdfgi	be	h
acdfgi	bh	e
acdfgi	b	eh
acdfhi	be	g
acdfhi	bg	e
acdfhi	b	eg
acdghi	be	f
acdghi	bf	e
acdghi	b	ef
acefgh	bd	i
acefgh	bi	d
acefgh	b	di
acefgi	bd	h
acefgi	bh	d
acefgi	b	dh
acefhi	bd	g
acefhi	bg	d
acefhi	b	dg
aceghi	bd	f
aceghi	bf	d
aceghi	b	df
acfghi	bd	e
acfghi	be	d
acfghi	b	de
adefgh	bc	i
adefgh	bi	c
adefgh	b	ci
adefgi	bc	h
adefgi	bh	c
adefgi	b	ch
adefhi	bc	g
adefhi	bg	c
adefhi	b	cg
adeghi	bc	f
adeghi	bf	c
adeghi	b	cf
adfghi	bc	e
adfghi	be	c
adfghi	b	ce
aefghi	bc	d
aefghi	bd	c
aefghi	b	cd
ah	bcdefg	i
ai	bcdefg	h
a	bcdefg	hi
ag	bcdefh	i
ai	bcdefh	g
a	bcdefh	gi
ag	bcdefi	h
ah	bcdefi	g
a	bcdefi	gh
af	bcdegh	i
ai	bcdegh	f
a	bcdegh	fi
af	bcdegi	h
ah	bcdegi	f
a	bcdegi	fh
af	bcdehi	g
ag	bcdehi	f
a	bcdehi	fg
ae	bcdfgh	i
ai	bcdfgh	e
a	bcdfgh	ei
ae	bcdfgi	h
ah	bcdfgi	e
a	bcdfgi	eh
ae	bcdfhi	g
ag	bcdfhi	e
a	bcdfhi	eg
ae	bcdghi	f
af	bcdghi	e
a	bcdghi	ef
ad	bcefgh	i
ai	bcefgh	d
a	bcefgh	di
ad	bcefgi	h
ah	bcefgi	d
a	bcefgi	dh
ad	bcefhi	g
ag	bcefhi	d
a	bcefhi	dg
ad	bceghi	f
af	bceghi	d
a	bceghi	df
ad	bcfghi	e
ae	bcfghi	d
a	bcfghi	de
ac	bdefgh	i
ai	bdefgh	c
a	bdefgh	ci
ac	bdefgi	h
ah	bdefgi	c
a	bdefgi	ch
ac	bdefhi	g
ag	bdefhi	c
a	bdefhi	cg
ac	bdeghi	f
af	bdeghi	c
a	bdeghi	cf
ac	bdfghi	e
ae	bdfghi	c
a	bdfghi	ce
ac	befghi	d
ad	befghi	c
a	befghi	cd
ab	cdefgh	i
ai	b	cdefgh
a	bi	cdefgh
ab	cdefgi	h
ah	b	cdefgi
a	bh	cdefgi
ab	cdefhi	g
ag	b	cdefhi
a	bg	cdefhi
ab	cdeghi	f
af	b	cdeghi
a	bf	cdeghi
ab	cdfghi	e
ae	b	cdfghi
a	be	cdfghi
ab	cefghi	d
ad	b	cefghi
a	bd	cefghi
ab	c	defghi
ac	b	defghi
a	bc	defghi
abcde	fgh	i
abcde	fgi	h
abcde	fhi	g
abcde	f	ghi
abcdf	egh	i
abcdf	egi	h
abcdf	ehi	g
abcdf	e	ghi
abcdg	efh	i
abcdg	efi	h
abcdg	ehi	f
abcdg	e	fhi
abcdh	efg	i
abcdh	efi	g
abcdh	egi	f
abcdh	e	fgi
abcdi	efg	h
abcdi	efh	g
abcdi	egh	f
abcdi	e	fgh
abcef	dgh	i
abcef	dgi	h
abcef	dhi	g
abcef	d	ghi
abceg	dfh	i
abceg	dfi	h
abceg	dhi	f
abceg	d	fhi
abceh	dfg	i
abceh	dfi	g
abceh	dgi	f
abceh	d	fgi
abcei	dfg	h
abcei	dfh	g
abcei	dgh	f
abcei	d	fgh
abcfg	deh	i
abcfg	dei	h
abcfg	dhi	e
abcfg	d	ehi
abcfh	deg	i
abcfh	dei	g
abcfh	dgi	e
abcfh	d	egi
abcfi	deg	h
abcfi	deh	g
abcfi	dgh	e
abcfi	d	egh
abcgh	def	i
abcgh	dei	f
abcgh	dfi	e
abcgh	d	efi
abcgi	def	h
abcgi	deh	f
abcgi	dfh	e
abcgi	d	efh
abchi	def	g
abchi	deg	f
abchi	dfg	e
abchi	d	efg
abdef	cgh	i
abdef	cgi	h
abdef	chi	g
abdef	c	ghi
abdeg	cfh	i
abdeg	cfi	h
abdeg	chi	f
abdeg	c	fhi
abdeh	cfg	i
abdeh	cfi	g
abdeh	cgi	f
abdeh	c	fgi
abdei	cfg	h
abdei	cfh	g
abdei	cgh	f
abdei	c	fgh
abdfg	ceh	i
abdfg	cei	h
abdfg	chi	e
abdfg	c	ehi
abdfh	ceg	i
abdfh	cei	g
abdfh	cgi	e
abdfh	c	egi
abdfi	ceg	h
abdfi	ceh	g
abdfi	cgh	e
abdfi	c	egh
abdgh	cef	i
abdgh	cei	f
abdgh	cfi	e
abdgh	c	efi
abdgi	cef	h
abdgi	ceh	f
abdgi	cfh	e
abdgi	c	efh
abdhi	cef	g
abdhi	ceg	f
abdhi	cfg	e
abdhi	c	efg
abefg	cdh	i
abefg	cdi	h
abefg	chi	d
abefg	c	dhi
abefh	cdg	i
abefh	cdi	g
abefh	cgi	d
abefh	c	dgi
abefi	cdg	h
abefi	cdh	g
abefi	cgh	d
abefi	c	dgh
abegh	cdf	i
abegh	cdi	f
abegh	cfi	d
abegh	c	dfi
abegi	cdf	h
abegi	cdh	f
abegi	cfh	d
abegi	c	dfh
abehi	cdf	g
abehi	cdg	f
abehi	cfg	d
abehi	c	dfg
abfgh	cde	i
abfgh	cdi	e
abfgh	cei	d
abfgh	c	dei
abfgi	cde	h
abfgi	cdh	e
abfgi	ceh	d
abfgi	c	deh
abfhi	cde	g
abfhi	cdg	e
abfhi	ceg	d
abfhi	c	deg
abghi	cde	f
abghi	cdf	e
abghi	cef	d
abghi	c	def
acdef	bgh	i
acdef	bgi	h
acdef	bhi	g
acdef	b	ghi
acdeg	bfh	i
acdeg	bfi	h
acdeg	bhi	f
acdeg	b	fhi
acdeh	bfg	i
acdeh	bfi	g
acdeh	bgi	f
acdeh	b	fgi
acdei	bfg	h
acdei	bfh	g
acdei	bgh	f
acdei	b	fgh
acdfg	beh	i
acdfg	bei	h
acdfg	bhi	e
acdfg	b	ehi
acdfh	beg	i
acdfh	bei	g
acdfh	bgi	e
acdfh	b	egi
acdfi	beg	h
acdfi	beh	g
acdfi	bgh	e
acdfi	b	egh
acdgh	bef	i
acdgh	bei	f
acdgh	bfi	e
acdgh	b	efi
acdgi	bef	h
acdgi	beh	f
acdgi	bfh	e
acdgi	b	efh
acdhi	bef	g
acdhi	beg	f
acdhi	bfg	e
acdhi	b	efg
acefg	bdh	i
acefg	bdi	h
acefg	bhi	d
acefg	b	dhi
acefh	bdg	i
acefh	bdi	g
acefh	bgi	d
acefh	b	dgi
acefi	bdg	h
acefi	bdh	g
acefi	bgh	d
acefi	b	dgh
acegh	bdf	i
acegh	bdi	f
acegh	bfi	d
acegh	b	dfi
acegi	bdf	h
acegi	bdh	f
acegi	bfh	d
acegi	b	dfh
acehi	bdf	g
acehi	bdg	f
acehi	bfg	d
acehi	b	dfg
acfgh	bde	i
acfgh	bdi	e
acfgh	bei	d
acfgh	b	dei
acfgi	bde	h
acfgi	bdh	e
acfgi	beh	d
acfgi	b	deh
acfhi	bde	g
acfhi	bdg	e
acfhi	beg	d
acfhi	b	deg
acghi	bde	f
acghi	bdf	e
acghi	bef	d
acghi	b	def
adefg	bch	i
adefg	bci	h
adefg	bhi	c
adefg	b	chi
adefh	bcg	i
adefh	bci	g
adefh	bgi	c
adefh	b	cgi
adefi	bcg	h
adefi	bch	g
adefi	bgh	c
adefi	b	cgh
adegh	bcf	i
adegh	bci	f
adegh	bfi	c
adegh	b	cfi
adegi	bcf	h
adegi	bch	f
adegi	bfh	c
adegi	b	cfh
adehi	bcf	g
adehi	bcg	f
adehi	bfg	c
adehi	b	cfg
adfgh	bce	i
adfgh	bci	e
adfgh	bei	c
adfgh	b	cei
adfgi	bce	h
adfgi	bch	e
adfgi	beh	c
adfgi	b	ceh
adfhi	bce	g
adfhi	bcg	e
adfhi	beg	c
adfhi	b	ceg
adghi	bce	f
adghi	bcf	e
adghi	bef	c
adghi	b	cef
aefgh	bcd	i
aefgh	bci	d
aefgh	bdi	c
aefgh	b	cdi
aefgi	bcd	h
aefgi	bch	d
aefgi	bdh	c
aefgi	b	cdh
aefhi	bcd	g
aefhi	bcg	d
aefhi	bdg	c
aefhi	b	cdg
aeghi	bcd	f
aeghi	bcf	d
aeghi	bdf	c
aeghi	b	cdf
afghi	bcd	e
afghi	bce	d
afghi	bde	c
afghi	b	cde
agh	bcdef	i
agi	bcdef	h
ahi	bcdef	g
a	bcdef	ghi
afh	bcdeg	i
afi	bcdeg	h
ahi	bcdeg	f
a	bcdeg	fhi
afg	bcdeh	i
afi	bcdeh	g
agi	bcdeh	f
a	bcdeh	fgi
afg	bcdei	h
afh	bcdei	g
agh	bcdei	f
a	bcdei	fgh
aeh	bcdfg	i
aei	bcdfg	h
ahi	bcdfg	e
a	bcdfg	ehi
aeg	bcdfh	i
aei	bcdfh	g
agi	bcdfh	e
a	bcdfh	egi
aeg	bcdfi	h
aeh	bcdfi	g
agh	bcdfi	e
a	bcdfi	egh
aef	bcdgh	i
aei	bcdgh	f
afi	bcdgh	e
a	bcdgh	efi
aef	bcdgi	h
aeh	bcdgi	f
afh	bcdgi	e
a	bcdgi	efh
aef	bcdhi	g
aeg	bcdhi	f
afg	bcdhi	e
a	bcdhi	efg
adh	bcefg	i
adi	bcefg	h
ahi	bcefg	d
a	bcefg	dhi
adg	bcefh	i
adi	bcefh	g
agi	bcefh	d
a	bcefh	dgi
adg	bcefi	h
adh	bcefi	g
agh	bcefi	d
a	bcefi	dgh
adf	bcegh	i
adi	bcegh	f
afi	bcegh	d
a	bcegh	dfi
adf	bcegi	h
adh	bcegi	f
afh	bcegi	d
a	bcegi	dfh
adf	bcehi	g
adg	bcehi	f
afg	bcehi	d
a	bcehi	dfg
ade	bcfgh	i
adi	bcfgh	e
aei	bcfgh	d
a	bcfgh	dei
ade	bcfgi	h
adh	bcfgi	e
aeh	bcfgi	d
a	bcfgi	deh
ade	bcfhi	g
adg	bcfhi	e
aeg	bcfhi	d
a	bcfhi	deg
ade	bcghi	f
adf	bcghi	e
aef	bcghi	d
a	bcghi	def
ach	bdefg	i
aci	bdefg	h
ahi	bdefg	c
a	bdefg	chi
acg	bdefh	i
aci	bdefh	g
agi	bdefh	c
a	bdefh	cgi
acg	bdefi	h
ach	bdefi	g
agh	bdefi	c
a	bdefi	cgh
acf	bdegh	i
aci	bdegh	f
afi	bdegh	c
a	bdegh	cfi
acf	bdegi	h
ach	bdegi	f
afh	bdegi	c
a	bdegi	cfh
acf	bdehi	g
acg	bdehi	f
afg	bdehi	c
a	bdehi	cfg
ace	bdfgh	i
aci	bdfgh	e
aei	bdfgh	c
a	bdfgh	cei
ace	bdfgi	h
ach	bdfgi	e
aeh	bdfgi	c
a	bdfgi	ceh
ace	bdfhi	g
acg	bdfhi	e
aeg	bdfhi	c
a	bdfhi	ceg
ace	bdghi	f
acf	bdghi	e
aef	bdghi	c
a	bdghi	cef
acd	befgh	i
aci	befgh	d
adi	befgh	c
a	befgh	cdi
acd	befgi	h
ach	befgi	d
adh	befgi	c
a	befgi	cdh
acd	befhi	g
acg	befhi	d
adg	befhi	c
a	befhi	cdg
acd	beghi	f
acf	beghi	d
adf	beghi	c
a	beghi	cdf
acd	bfghi	e
ace	bfghi	d
ade	bfghi	c
a	bfghi	cde
abh	cdefg	i
abi	cdefg	h
ahi	b	cdefg
a	bhi	cdefg
abg	cdefh	i
abi	cdefh	g
agi	b	cdefh
a	bgi	cdefh
abg	cdefi	h
abh	cdefi	g
agh	b	cdefi
a	bgh	cdefi
abf	cdegh	i
abi	cdegh	f
afi	b	cdegh
a	bfi	cdegh
abf	cdegi	h
abh	cdegi	f
afh	b	cdegi
a	bfh	cdegi
abf	cdehi	g
abg	cdehi	f
afg	b	cdehi
a	bfg	cdehi
abe	cdfgh	i
abi	cdfgh	e
aei	b	cdfgh
a	bei	cdfgh
abe	cdfgi	h
abh	cdfgi	e
aeh	b	cdfgi
a	beh	cdfgi
abe	cdfhi	g
abg	cdfhi	e
aeg	b	cdfhi
a	beg	cdfhi
abe	cdghi	f
abf	cdghi	e
aef	b	cdghi
a	bef	cdghi
abd	cefgh	i
abi	cefgh	d
adi	b	cefgh
a	bdi	cefgh
abd	cefgi	h
abh	cefgi	d
adh	b	cefgi
a	bdh	cefgi
abd	cefhi	g
abg	cefhi	d
adg	b	cefhi
a	bdg	cefhi
abd	ceghi	f
abf	ceghi	d
adf	b	ceghi
a	bdf	ceghi
abd	cfghi	e
abe	cfghi	d
ade	b	cfghi
a	bde	cfghi
abc	defgh	i
abi	c	defgh
aci	b	defgh
a	bci	defgh
abc	defgi	h
abh	c	defgi
ach	b	defgi
a	bch	defgi
abc	defhi	g
abg	c	defhi
acg	b	defhi
a	bcg	defhi
abc	deghi	f
abf	c	deghi
acf	b	deghi
a	bcf	deghi
abc	dfghi	e
abe	c	dfghi
ace	b	dfghi
a	bce	dfghi
abc	d	efghi
abd	c	efghi
acd	b	efghi
a	bcd	efghi
abcde	fg	hi
abcde	fh	gi
abcde	fi	gh
abcdf	eg	hi
abcdf	eh	gi
abcdf	ei	gh
abcdg	ef	hi
abcdg	eh	fi
abcdg	ei	fh
abcdh	ef	gi
abcdh	eg	fi
abcdh	ei	fg
abcdi	ef	gh
abcdi	eg	fh
abcdi	eh	fg
abcef	dg	hi
abcef	dh	gi
abcef	di	gh
abceg	df	hi
abceg	dh	fi
abceg	di	fh
abceh	df	gi
abceh	dg	fi
abceh	di	fg
abcei	df	gh
abcei	dg	fh
abcei	dh	fg
abcfg	de	hi
abcfg	dh	ei
abcfg	di	eh
abcfh	de	gi
abcfh	dg	ei
abcfh	di	eg
abcfi	de	gh
abcfi	dg	eh
abcfi	dh	eg
abcgh	de	fi
abcgh	df	ei
abcgh	di	ef
abcgi	de	fh
abcgi	df	eh
abcgi	dh	ef
abchi	de	fg
abchi	df	eg
abchi	dg	ef
abdef	cg	hi
abdef	ch	gi
abdef	ci	gh
abdeg	cf	hi
abdeg	ch	fi
abdeg	ci	fh
abdeh	cf	gi
abdeh	cg	fi
abdeh	ci	fg
abdei	cf	gh
abdei	cg	fh
abdei	ch	fg
abdfg	ce	hi
abdfg	ch	ei
abdfg	ci	eh
abdfh	ce	gi
abdfh	cg	ei
abdfh	ci	eg
abdfi	ce	gh
abdfi	cg	eh
abdfi	ch	eg
abdgh	ce	fi
abdgh	cf	ei
abdgh	ci	ef
abdgi	ce	fh
abdgi	cf	eh
abdgi	ch	ef
abdhi	ce	fg
abdhi	cf	eg
abdhi	cg	ef
abefg	cd	hi
abefg	ch	di
abefg	ci	dh
abefh	cd	gi
abefh	cg	di
abefh	ci	dg
abefi	cd	gh
abefi	cg	dh
abefi	ch	dg
abegh	cd	fi
abegh	cf	di
abegh	ci	df
abegi	cd	fh
abegi	cf	dh
abegi	ch	df
abehi	cd	fg
abehi	cf	dg
abehi	cg	df
abfgh	cd	ei
abfgh	ce	di
abfgh	ci	de
abfgi	cd	eh
abfgi	ce	dh
abfgi	ch	de
abfhi	cd	eg
abfhi	ce	dg
abfhi	cg	de
abghi	cd	ef
abghi	ce	df
abghi	cf	de
acdef	bg	hi
acdef	bh	gi
acdef	bi	gh
acdeg	bf	hi
acdeg	bh	fi
acdeg	bi	fh
acdeh	bf	gi
acdeh	bg	fi
acdeh	bi	fg
acdei	bf	gh
acdei	bg	fh
acdei	bh	fg
acdfg	be	hi
acdfg	bh	ei
acdfg	bi	eh
acdfh	be	gi
acdfh	bg	ei
acdfh	bi	eg
acdfi	be	gh
acdfi	bg	eh
acdfi	bh	eg
acdgh	be	fi
acdgh	bf	ei
acdgh	bi	ef
acdgi	be	fh
acdgi	bf	eh
acdgi	bh	ef
acdhi	be	fg
acdhi	bf	eg
acdhi	bg	ef
acefg	bd	hi
acefg	bh	di
acefg	bi	dh
acefh	bd	gi
acefh	bg	di
acefh	bi	dg
acefi	bd	gh
acefi	bg	dh
acefi	bh	dg
acegh	bd	fi
acegh	bf	di
acegh	bi	df
acegi	bd	fh
acegi	bf	dh
acegi	bh	df
acehi	bd	fg
acehi	bf	dg
acehi	bg	df
acfgh	bd	ei
acfgh	be	di
acfgh	bi	de
acfgi	bd	eh
acfgi	be	dh
acfgi	bh	de
acfhi	bd	eg
acfhi	be	dg
acfhi	bg	de
acghi	bd	ef
acghi	be	df
acghi	bf	de
adefg	bc	hi
adefg	bh	ci
adefg	bi	ch
adefh	bc	gi
adefh	bg	ci
adefh	bi	cg
adefi	bc	gh
adefi	bg	ch
adefi	bh	cg
adegh	bc	fi
adegh	bf	ci
adegh	bi	cf
adegi	bc	fh
adegi	bf	ch
adegi	bh	cf
adehi	bc	fg
adehi	bf	cg
adehi	bg	cf
adfgh	bc	ei
adfgh	be	ci
adfgh	bi	ce
adfgi	bc	eh
adfgi	be	ch
adfgi	bh	ce
adfhi	bc	eg
adfhi	be	cg
adfhi	bg	ce
adghi	bc	ef
adghi	be	cf
adghi	bf	ce
aefgh	bc	di
aefgh	bd	ci
aefgh	bi	cd
aefgi	bc	dh
aefgi	bd	ch
aefgi	bh	cd
aefhi	bc	dg
aefhi	bd	cg
aefhi	bg	cd
aeghi	bc	df
aeghi	bd	cf
aeghi	bf	cd
afghi	bc	de
afghi	bd	ce
afghi	be	cd
ag	bcdef	hi
ah	bcdef	gi
ai	bcdef	gh
af	bcdeg	hi
ah	bcdeg	fi
ai	bcdeg	fh
af	bcdeh	gi
ag	bcdeh	fi
ai	bcdeh	fg
af	bcdei	gh
ag	bcdei	fh
ah	bcdei	fg
ae	bcdfg	hi
ah	bcdfg	ei
ai	bcdfg	eh
ae	bcdfh	gi
ag	bcdfh	ei
ai	bcdfh	eg
ae	bcdfi	gh
ag	bcdfi	eh
ah	bcdfi	eg
ae	bcdgh	fi
af	bcdgh	ei
ai	bcdgh	ef
ae	bcdgi	fh
af	bcdgi	eh
ah	bcdgi	ef
ae	bcdhi	fg
af	bcdhi	eg
ag	bcdhi	ef
ad	bcefg	hi
ah	bcefg	di
ai	bcefg	dh
ad	bcefh	gi
ag	bcefh	di
ai	bcefh	dg
ad	bcefi	gh
ag	bcefi	dh
ah	bcefi	dg
ad	bcegh	fi
af	bcegh	di
ai	bcegh	df
ad	bcegi	fh
af	bcegi	dh
ah	bcegi	df
ad	bcehi	fg
af	bcehi	dg
ag	bcehi	df
ad	bcfgh	ei
ae	bcfgh	di
ai	bcfgh	de
ad	bcfgi	eh
ae	bcfgi	dh
ah	bcfgi	de
ad	bcfhi	eg
ae	bcfhi	dg
ag	bcfhi	de
ad	bcghi	ef
ae	bcghi	df
af	bcghi	de
ac	bdefg	hi
ah	bdefg	ci
ai	bdefg	ch
ac	bdefh	gi
ag	bdefh	ci
ai	bdefh	cg
ac	bdefi	gh
ag	bdefi	ch
ah	bdefi	cg
ac	bdegh	fi
af	bdegh	ci
ai	bdegh	cf
ac	bdegi	fh
af	bdegi	ch
ah	bdegi	cf
ac	bdehi	fg
af	bdehi	cg
ag	bdehi	cf
ac	bdfgh	ei
ae	bdfgh	ci
ai	bdfgh	ce
ac	bdfgi	eh
ae	bdfgi	ch
ah	bdfgi	ce
ac	bdfhi	eg
ae	bdfhi	cg
ag	bdfhi	ce
ac	bdghi	ef
ae	bdghi	cf
af	bdghi	ce
ac	befgh	di
ad	befgh	ci
ai	befgh	cd
ac	befgi	dh
ad	befgi	ch
ah	befgi	cd
ac	befhi	dg
ad	befhi	cg
ag	befhi	cd
ac	beghi	df
ad	beghi	cf
af	beghi	cd
ac	bfghi	de
ad	bfghi	ce
ae	bfghi	cd
ab	cdefg	hi
ah	bi	cdefg
ai	bh	cdefg
ab	cdefh	gi
ag	bi	cdefh
ai	bg	cdefh
ab	cdefi	gh
ag	bh	cdefi
ah	bg	cdefi
ab	cdegh	fi
af	bi	cdegh
ai	bf	cdegh
ab	cdegi	fh
af	bh	cdegi
ah	bf	cdegi
ab	cdehi	fg
af	bg	cdehi
ag	bf	cdehi
ab	cdfgh	ei
ae	bi	cdfgh
ai	be	cdfgh
ab	cdfgi	eh
ae	bh	cdfgi
ah	be	cdfgi
ab	cdfhi	eg
ae	bg	cdfhi
ag	be	cdfhi
ab	cdghi	ef
ae	bf	cdghi
af	be	cdghi
ab	cefgh	di
ad	bi	cefgh
ai	bd	cefgh
ab	cefgi	dh
ad	bh	cefgi
ah	bd	cefgi
ab	cefhi	dg
ad	bg	cefhi
ag	bd	cefhi
ab	ceghi	df
ad	bf	ceghi
af	bd	ceghi
ab	cfghi	de
ad	be	cfghi
ae	bd	cfghi
ab	ci	defgh
ac	bi	defgh
ai	bc	defgh
ab	ch	defgi
ac	bh	defgi
ah	bc	defgi
ab	cg	defhi
ac	bg	defhi
ag	bc	defhi
ab	cf	deghi
ac	bf	deghi
af	bc	deghi
ab	ce	dfghi
ac	be	dfghi
ae	bc	dfghi
ab	cd	efghi
ac	bd	efghi
ad	bc	efghi
abcd	efgh	i
abcd	efgi	h
abcd	efhi	g
abcd	eghi	f
abcd	e	fghi
abce	dfgh	i
abce	dfgi	h
abce	dfhi	g
abce	dghi	f
abce	d	fghi
abcf	degh	i
abcf	degi	h
abcf	dehi	g
abcf	dghi	e
abcf	d	eghi
abcg	defh	i
abcg	defi	h
abcg	dehi	f
abcg	dfhi	e
abcg	d	efhi
abch	defg	i
abch	defi	g
abch	degi	f
abch	dfgi	e
abch	d	efgi
abci	defg	h
abci	defh	g
abci	degh	f
abci	dfgh	e
abci	d	efgh
abde	cfgh	i
abde	cfgi	h
abde	cfhi	g
abde	cghi	f
abde	c	fghi
abdf	cegh	i
abdf	cegi	h
abdf	cehi	g
abdf	cghi	e
abdf	c	eghi
abdg	cefh	i
abdg	cefi	h
abdg	cehi	f
abdg	cfhi	e
abdg	c	efhi
abdh	cefg	i
abdh	cefi	g
abdh	cegi	f
abdh	cfgi	e
abdh	c	efgi
abdi	cefg	h
abdi	cefh	g
abdi	cegh	f
abdi	cfgh	e
abdi	c	efgh
abef	cdgh	i
abef	cdgi	h
abef	cdhi	g
abef	cghi	d
abef	c	dghi
abeg	cdfh	i
abeg	cdfi	h
abeg	cdhi	f
abeg	cfhi	d
abeg	c	dfhi
abeh	cdfg	i
abeh	cdfi	g
abeh	cdgi	f
abeh	cfgi	d
abeh	c	dfgi
abei	cdfg	h
abei	cdfh	g
abei	cdgh	f
abei	cfgh	d
abei	c	dfgh
abfg	cdeh	i
abfg	cdei	h
abfg	cdhi	e
abfg	cehi	d
abfg	c	dehi
abfh	cdeg	i
abfh	cdei	g
abfh	cdgi	e
abfh	cegi	d
abfh	c	degi
abfi	cdeg	h
abfi	cdeh	g
abfi	cdgh	e
abfi	cegh	d
abfi	c	degh
abgh	cdef	i
abgh	cdei	f
abgh	cdfi	e
abgh	cefi	d
abgh	c	defi
abgi	cdef	h
abgi	cdeh	f
abgi	cdfh	e
abgi	cefh	d
abgi	c	defh
abhi	cdef	g
abhi	cdeg	f
abhi	cdfg	e
abhi	cefg	d
abhi	c	defg
acde	bfgh	i
acde	bfgi	h
acde	bfhi	g
acde	bghi	f
acde	b	fghi
acdf	begh	i
acdf	begi	h
acdf	behi	g
acdf	bghi	e
acdf	b	eghi
acdg	befh	i
acdg	befi	h
acdg	behi	f
acdg	bfhi	e
acdg	b	efhi
acdh	befg	i
acdh	befi	g
acdh	begi	f
acdh	bfgi	e
acdh	b	efgi
acdi	befg	h
acdi	befh	g
acdi	begh	f
acdi	bfgh	e
acdi	b	efgh
acef	bdgh	i
acef	bdgi	h
acef	bdhi	g
acef	bghi	d
acef	b	dghi
aceg	bdfh	i
aceg	bdfi	h
aceg	bdhi	f
aceg	bfhi	d
aceg	b	dfhi
aceh	bdfg	i
aceh	bdfi	g
aceh	bdgi	f
aceh	bfgi	d
aceh	b	dfgi
acei	bdfg	h
acei	bdfh	g
acei	bdgh	f
acei	bfgh	d
acei	b	dfgh
acfg	bdeh	i
acfg	bdei	h
acfg	bdhi	e
acfg	behi	d
acfg	b	dehi
acfh	bdeg	i
acfh	bdei	g
acfh	bdgi	e
acfh	begi	d
acfh	b	degi
acfi	bdeg	h
acfi	bdeh	g
acfi	bdgh	e
acfi	begh	d
acfi	b	degh
acgh	bdef	i
acgh	bdei	f
acgh	bdfi	e
acgh	befi	d
acgh	b	defi
acgi	bdef	h
acgi	bdeh	f
acgi	bdfh	e
acgi	befh	d
acgi	b	defh
achi	bdef	g
achi	bdeg	f
achi	bdfg	e
achi	befg	d
achi	b	defg
adef	bcgh	i
adef	bcgi	h
adef	bchi	g
adef	bghi	c
adef	b	cghi
adeg	bcfh	i
adeg	bcfi	h
